medical_abstract,triage_level,urgent_score,nonurgent_score,confidence,binary_prediction,n_tokens,was_truncated,original_condition_labels,original_condition_names,original_splits,pseudolabel_model,pseudolabel_threshold,max_length
"Altered protein tyrosine kinase levels in human colon carcinoma. To further understand the molecular mechanisms and the biological indicators of colonic tumorigenesis, the authors examined tyrosine kinase activity in the cytosol and in the particulate fraction of the homogenates of specimens from 20 human colonic carcinomas and compared them with the adjacent normal mucosal tissues. Total protein tyrosine kinase activity could be precisely detected using miniphosphocellulose column purification and a synthetic peptide, Glu-asparagine (Asp)-alanine (Ala)-Glu-tyrosine (Tyr)-Ala-Ala-arginine (Arg)-Arg-Arg-glycine (Gly) (E11-G1), as an artificial substrate. Tyrosine kinase activity of colonic carcinoma and normal mucosa was reduced in the cytosol fraction whereas activity in the particulate fraction was elevated with respect to protein concentration. The average specific activity ratios were 1.95 +/- 0.27 (normal cytosolic/carcinoma cytosolic) and 0.57 +/- 0.01 (normal particulate/carcinoma particulate) for tyrosine kinase activity. Cellular distribution (% cytosol) of tyrosine kinase activity in normal mucosa and in carcinoma varied from 21.0% to 91.2% and from 7.0% to 61.4%, respectively. In nearly all cases the percentage of cytosolic tyrosine kinase activity in carcinoma tissues was lower than in normal tissues. There was no difference due to histologic type or the presence of adenomatous components. A significant decrease of cytosolic tyrosine kinases was correlated with Dukes' Stage A. With advancing Dukes' stage, the average specific activity ratios (normal cytosol/carcinoma cytosol) were decreased. This study indicates that colonic carcinogenesis might be associated with alterations in cellular levels of tyrosine kinase activity and that the average specific activity ratio (normal cytosol/carcinoma cytosol) had a possible correlation with colonic tumor growth.",normal,0.2332831621170044,0.7667168974876404,0.7667168974876404,non-urgent,505,True,1,neoplasms,train,Yuvrajxms09/biobert-triage-classifier,0.7,256
"Acute and chronic bacterial prostatitis: a review of treatment approaches. Some authors describe acute bacterial prostatitis as a self-limiting disease, and as with any other acute septic condition, parenteral broad-spectrum antibiotic therapy is indicated. Chronic bacterial prostatitis, however, is associated with a causative organism persisting unaltered in prostatic fluid and leading to relapsing urinary tract infections. In the 1970s, several workers produced a classification system and bacteriologic localization cultures for establishing the diagnosis of prostatitis. Krieger and Crawford point to an important factor that is omitted in many clinical trials with episodes of chronic bacterial prostatitis in men. If localization studies of the prostate infection are attempted in the presence of bacteriuria, the urine must be sterilized with nitrofurantoin or penicillin G. Urine cultures obtained from first-voided urine, bladder urine, and urine voided after prostatic massage should show no growth, and the expressed prostatic secretion can then be examined for evidence of prostatic infection. This procedure reduces the contamination of the expressed prostatic secretion by the organism from the urinary tract infection. This is important, because antibiotic treatment is determined by the sensitivity of the organism isolated from the prostate as well as by the ability of the antibiotics to penetrate the prostate. Meares outlines the pharmacokinetic features needed for drug diffusion into prostatic fluid and provides detailed information on the physical characteristics of the prostate during acute and chronic bacterial prostatitis. Unfortunately, the choice of an ideal drug cannot be extrapolated from this information because pharmacodynamic principles cannot predict clinical efficacy. Some authors find that sulfamethoxazole-trimethoprim has the best cure rate in the treatment of chronic bacterial prostatitis.",atenção,0.4234746098518371,0.5765253901481628,0.5765253901481628,non-urgent,391,True,5,general pathological conditions,test,Yuvrajxms09/biobert-triage-classifier,0.7,256
"Abdominal sparganosis in Ecuador: a case report. Sparganosis, infection with plerocercoids of the pseudophyllidean tapeworm Spirometra, rarely has been described in Ecuador. We report the details of a human case of sparganosis identified serendipitously in the course of an abdominal hernia repair. The parasite was found moving freely upon the external oblique fascia adjacent to the site of a direct abdominal hernia. The organism was recovered intact, photographed while alive and preserved for subsequent detailed morphological studies. The presumed route of entry into this patient was percutaneous, after application of a poultice of snake flesh to the site of a painful abdominal hernia. The literature on sparganosis in South America is reviewed. This is the second case of human sparganosis reported from Ecuador.",atenção,0.6343269944190979,0.3656729459762573,0.6343269944190979,urgent,179,False,2,digestive system diseases,train,Yuvrajxms09/biobert-triage-classifier,0.7,256
"A clinical study of acute gastrointestinal hemorrhage associated with various shock states. Gastrointestinal hemorrhage from stress ulceration is a life-threatening complication in a critically ill patient. We retrospectively studied 471 patients admitted to the Department of Traumatology of our hospital who developed shock in their clinical course. Forty-two patients (8.9%) developed gastrointestinal hemorrhage, most within 1 wk (76.2%). The hemorrhage lesion usually was located in the corpus of the stomach. The mortality rate of the shock patients with gastrointestinal hemorrhage was 33.3% (14 of 42). Comparison of different types of shock showed that the incidence, severity, and mortality rates of gastrointestinal hemorrhage were significantly higher in septic shock patients than in hemorrhagic shock patients. These findings show the importance of preventive therapy against progression of early mucosal damage and development of gastrointestinal hemorrhage in shock patients, especially those with sepsis.",urgente,0.8771593570709229,0.1228407248854637,0.8771593570709229,urgent,241,False,5,general pathological conditions,train,Yuvrajxms09/biobert-triage-classifier,0.7,256
"Absence of estrogen receptors in dysplastic nevi and malignant melanoma. Benign nevi, dysplastic nevi, and primary and metastatic malignant melanomas were evaluated for the presence of sex hormone binding and estrogen receptor protein. We have confirmed the observation of Ellis et al. that some pigmented lesions possess sex hormone-binding proteins. We could not demonstrate a true estrogen receptor in any benign nevi, dysplastic nevi, primary melanomas, or metastatic melanomas. Thus the ability to bind estrogen or progesterone does not correlate with the presence of a true estrogen receptor. Lack of nuclear estrogen receptors suggests that the influence of estrogen on the pathophysiology of melanoma or of benign melanocytic nevi may not be significant.",normal,0.1263270825147628,0.8736729025840759,0.8736729025840759,non-urgent,189,False,1,neoplasms,train,Yuvrajxms09/biobert-triage-classifier,0.7,256
"A randomized study of methanol-extraction residue of bacille Calmette-Guerin as postsurgical adjuvant therapy of uveal melanoma. A randomized controlled clinical trial of methanol-extracted residue of bacille Calmette-Guerin adjuvant treatment of posterior uveal melanoma was undertaken. Of 113 patients, 34 patients received adjuvant immunotherapy and 79 patients received no treatment. No difference in survival was observed between the adjuvant-treated group and the control group of patients. This study found that the size of the tumor was a highly significant risk factor for death caused by metastasis of uveal melanomas. The standard deviation of the nucleolar area of the neoplastic cells was a significant risk factor, even though patients with tumors composed of Callender's spindle-type cells were not included in the study.",atenção,0.3444347679615021,0.6555652022361755,0.6555652022361755,non-urgent,200,False,1,neoplasms,train,Yuvrajxms09/biobert-triage-classifier,0.7,256
"A phase II trial of carboplatin and vinblastine in the treatment of advanced squamous cell carcinoma of the esophagus. Cisplatin-containing regimens are active in the treatment of esophageal cancer, with response rates of 25% to 35% in advanced disease. Carboplatin is less toxic than cisplatin; as a single agent, several responses were seen against esophageal tumors. To better define the role of carboplatin in esophageal cancer, the authors treated 19 chemotherapy-naive patients with advanced squamous cell carcinoma of the esophagus with carboplatin and vinblastine. Carboplatin (450 mg/m2 intravenously [IV] on days 1, 29, 57, and every 6 weeks thereafter) was given with vinblastine (5 mg/m2 IV on day 1 and then every 2 weeks). No major responses were seen. No significant renal toxicity and only mild gastrointestinal toxicity (emesis, diarrhea) were observed. Hematologic toxicity was more severe in patients with prior radiation therapy (RT), with three of six patients with prior RT exhibiting Grade 4 hematologic toxicity. Although generally less toxic than cisplatin-containing regimens, carboplatin and vinblastine is also less active in the treatment of squamous cell carcinoma of the esophagus. Hematologic toxicity with this regimen was severe in patients who had received prior RT.",atenção,0.6397953629493713,0.360204666852951,0.6397953629493713,urgent,348,True,1,neoplasms,test,Yuvrajxms09/biobert-triage-classifier,0.7,256
A case of amnesia after excision of the septum pellucidum. Tumours of the septum pellucidum (SP) are rare and seldom associated with memory impairment either before or after operation. A patient is described who developed amnesia after transcallosal excision of a tumour of the SP. Radiology did not show any major lesion of the brain areas traditionally associated with amnesia. Because septal nuclei could have been damaged during surgery their possible role in memory functions is discussed.,atenção,0.3639774322509765,0.6360225081443787,0.6360225081443787,non-urgent,115,False,1|3|5,neoplasms|nervous system diseases|general pathological conditions,train,Yuvrajxms09/biobert-triage-classifier,0.7,256
An evaluation of cocaine-induced chest pain STUDY OBJECTIVE: To determine if enzymatic evidence of acute myocardial injury is present in patients complaining of chest pain after cocaine use when the ECG is normal or nondiagnostic. DESIGN: Serial ECG and creatinine kinase (CK) and CK isoenzymes (CK-ISO) determinations were performed at time of emergency department presentation and every six hours over 12 hours on individuals complaining of chest pain within six hours of last cocaine use. SETTING: ED of an urban tertiary care center. TYPE OF PARTICIPANTS: Forty-two individuals with a mean age of 28.5 years. INTERVENTIONS: Patients with positive CK-ISOs were admitted immediately to formally rule out myocardial infarction. Patients developing ECG changes during observation period also were admitted even if CK-ISOs were normal. Patients with unchanged ECGs and normal CK-ISOs were discharged after 12 hours of observation. RESULTS: Eight patients (19%) had elevated CK and CK-ISO values at presentation. Two of these patients had elevated values on three sequential determinations and were believed to have sustained acute myocardial infarction. Six patients had elevated CK and CK-ISOs at presentation only. ECGs remained normal or nondiagnostic in all patients. CONCLUSIONS: Enzymatic evidence of acute myocardial injury may occur in patients who develop chest pain after cocaine use and have normal or nondiagnostic ECGs. This injury may reflect acute infarction or transient ischemia. Single or serial normal or nondiagnostic ECGs do not rule out ischemia or injury in this group of patients.,urgente,0.8654563426971436,0.1345436722040176,0.8654563426971436,urgent,402,True,4|5,cardiovascular diseases|general pathological conditions,train,Yuvrajxms09/biobert-triage-classifier,0.7,256
"A prospective study of patients with sciatica. A comparison between conservatively treated patients and patients who have undergone operation, Part II: Results after one year follow-up. The prospective study included 122 sciatica patients who had not undergone operation (NOPs) and 220 sciatica patients who had undergone operation (OPs); all had been examined by rhizography. The follow-up study was done on 110 (90%) of the NOPs and 212 (96%) of the OPs. The NOPs were divided into two groups: 30 patients with pathologic rhizography (PR) and 80 patients with negative rhizography (NR). Pain-, ADL-, and occupation-handicap indices showed that after the 1 year follow-up the OP group had the best result and the NR group the lowest result. The PR group had nearly as good a result as the OP group. Thus, sciatica patients are candidates for conservative therapy, even though they have pathologic findings in rhizography, if the symptoms are mild. To improve therapeutic outcome, more accurate diagnostic tools are needed to develop specific therapy especially for those sciatica patients with negative rhizography.",normal,0.0613379664719104,0.938662052154541,0.938662052154541,non-urgent,261,True,5,general pathological conditions,train,Yuvrajxms09/biobert-triage-classifier,0.7,256
"A case-control study of Alzheimer's disease in Australia. We conducted a case-control study of clinically diagnosed Alzheimer's disease (AD) on 170 cases aged 52 to 96 years, and 170 controls matched for age, sex and, where possible, the general practice of origin. Trained lay interviewers naive to the hypotheses and to the clinical status of the elderly person carried out risk-factor interviews with informants. Significant odds ratios were found for 4 variables: a history of either dementia, probable AD, or Down's syndrome in a 1st-degree relative, and underactivity as a behavioral trait in both the recent and more distant past. Previously reported or suggested associations not confirmed by this study include head injury, starvation, thyroid disease, analgesic abuse, antacid use (aluminum exposure), alcohol abuse, smoking, and being left-handed.",normal,0.0728016570210456,0.9271983504295348,0.9271983504295348,non-urgent,187,False,3,nervous system diseases,test,Yuvrajxms09/biobert-triage-classifier,0.7,256
"A retinoic acid response element is part of a pleiotropic domain in the phosphoenolpyruvate carboxykinase gene. Several hormones, including insulin, glucagon, and glucocorticoids, regulate the expression of the rate-limiting gluconeogenic enzyme, phosphoenolpyruvate carboxykinase [GTP: oxaloacetate carboxy-lyase (transphosphorylating); EC 4.1.1.32; PEPCK] in liver. In this report we demonstrate that retinoic acid (RA) also regulates PEPCK expression by inducing a 3-fold increase in the rate of transcription of the PEPCK gene. A RA response element located between -468 and -431 in the PEPCK promoter mediates a 7-fold increase in expression of a chimeric construct containing the basal PEPCK promoter ligated to the chloramphenicol acetyltransferase reporter gene. This element confers RA responsiveness through the heterologous thymidine kinase promoter and functions relatively independent of position and orientation. An 18-base-pair core sequence (-451 to -434) (i) mediates an effect of RA on PEPCK gene expression and contains motifs found in two other RA response elements; (ii) corresponds to AF1, an accessory factor element that is an integral component of the complex glucocorticoid response unit in the PEPCK gene promoter; (iii) is in a region involved in the developmental expression of the PEPCK gene; and (iv) shows homology to elements involved in the tissue-specific regulation of genes, including the hepatic apolipoprotein genes and the alpha 1-antitrypsin gene.",normal,0.177254244685173,0.8227457404136658,0.8227457404136658,non-urgent,408,True,1,neoplasms,train,Yuvrajxms09/biobert-triage-classifier,0.7,256
"Acetazolamide in the treatment of abnormal oculovestibular response. We treated seven patients with incapacitating vertigo elicited by walking down a grocery store aisle or driving a car. Results of neurologic, neuro-ophthalmic, and neuroradiologic examinations were normal. Episodic vertigo secondary to an abnormal oculovestibular response was diagnosed. Each patient was given a trial of 250 to 500 mg of acetazolamide daily. Symptoms resolved completely in four patients, two patients had near resolution of symptoms, and one patient had no relief. Carbonic anhydrase activity has been demonstrated in the inner ear, and acetazolamide has been shown to affect the ion balance of the inner ear fluids.",normal,0.2362717539072036,0.7637282609939575,0.7637282609939575,non-urgent,173,False,5,general pathological conditions,test,Yuvrajxms09/biobert-triage-classifier,0.7,256
"A multifocal schwannoma of the masseteric nerve causing hemicrania. A case is reported of schwannoma of the right masseteric nerve, invading the pterygopalatine fossa and the parapharyngeal space through the mandibular notch in a 61-year-old woman. The tumor in this case was composed of four various-sized interconnected nodules, simulating a string of beads. The tumor was the cause of the patient's chronic hemicrania, as confirmed by the relief from and disappearance of head pain after surgical removal of the tumor. The most important aspects of this case are the anatomic site of the schwannoma and its uncommon clinicopathologic manifestations; this tumor originated from the masseteric nerve and is the first case reported to straddle the mandibular notch.",atenção,0.6037983894348145,0.3962016105651855,0.6037983894348145,urgent,190,False,1|3,neoplasms|nervous system diseases,train,Yuvrajxms09/biobert-triage-classifier,0.7,256
"Allelic loss of chromosomes 16q and 10q in human prostate cancer. Recent advances in understanding the molecular genetics of common adult tumors have indicated that multiple genetic alterations including the activation of oncogenes and the inactivation of tumor suppressor genes are important in the pathogenesis of these tumors. Loss of heterozygosity is a hallmark of tumor suppressor gene inactivation and has been used to identify chromosomal regions that contain these genes. We have examined allelic loss in the most common tumor in men, prostate cancer. Twenty-eight prostate cancer specimens have been examined for loss of heterozygosity at 11 different chromosomal arms including 3p, 7q, 9q, 10p, 10q, 11p, 13q, 16p, 16q, 17p, and 18q. Fifty-four percent (13/24) of clinically localized tumors and 4 of 4 metastatic tumors showed loss of heterozygosity on at least one chromosome. Chromosomes 16q and 10q exhibited the highest frequency of loss of heterozygosity with 30% of tumors showing loss at these chromosomes. These data demonstrate that allelic loss is a common event in prostate cancer and suggest that chromosomes 16q and 10q may contain the sites of tumor suppressor genes important in the pathogenesis of human prostate cancer.",normal,0.284536749124527,0.7154632806777954,0.7154632806777954,non-urgent,296,True,5,general pathological conditions,train,Yuvrajxms09/biobert-triage-classifier,0.7,256
"A clinical triad to diagnose paraneoplastic retinopathy. Two elderly men developed photosensitivity and light-induced glare, transient visual symptoms, and progressive visual loss several months before small cell carcinoma of the lung was discovered. Both patients had impaired visual acuity and color vision, ring scotomas, and attenuated retinal arteriole caliber. Electroretinography demonstrated abnormal cone and rod-mediated responses. Antiretinal antibodies were identified in their serum. Their visual sensory function improved following therapy with immunosuppressive agents. The triad of photosensitivity, ring scotomatous visual field loss, and attenuated retinal arteriole caliber should alert one to a paraneoplastic disorder affecting the retina.",atenção,0.6034858822822571,0.3965141475200653,0.6034858822822571,urgent,170,False,1|3,neoplasms|nervous system diseases,train,Yuvrajxms09/biobert-triage-classifier,0.7,256
"A randomized clinical trial of scatter photocoagulation of proliferative sickle cell retinopathy. A randomized prospective clinical trial of argon laser scatter photocoagulation therapy for proliferative sickle cell retinopathy was performed on 116 patients (174 eyes) in Kingston, Jamaica. Ninety-nine eyes were treated with scatter photocoagulation and 75 eyes served as controls. The average length of follow-up was 42 months for the control eyes and 47 months for the treated eyes. Prolonged loss of visual acuity was statistically significantly reduced in the treated eyes. The incidence of vitreous hemorrhage was also significantly reduced in the treated eyes after controlling for the previously defined risk factors of vitreous hemorrhage and extent of proliferative sickle cell retinopathy at entry into the study. There were no complications associated with argon laser scatter photocoagulation. Scatter photocoagulation of proliferative sickle cell retinopathy is currently the most effective and safe way to treat patients with sea fan neovascularization.",normal,0.2724217474460602,0.7275782823562622,0.7275782823562622,non-urgent,238,False,5,general pathological conditions,train,Yuvrajxms09/biobert-triage-classifier,0.7,256
"Activation of early events of the mitogenic response by a P2Y purinoceptor with covalently bound 3'-O-(4-benzoyl)-benzoyladenosine 5'-triphosphate. 3'-O-(4-Benzoyl)benzoyl-ATP (BzATP), a photoaffinity analog of ATP, was used as a ligand for a P2Y purinoceptor (adenine nucleotide receptor) present in intact Swiss 3T3 and 3T6 cells and A-431 epidermoid carcinoma cells. Photolysis of serum-starved cells in the presence of 10-50 microM BzATP, followed by extensive washing to remove unincorporated BzATP, induced the release of arachidonic acid. A trace (less than 0.01%) of photoincorporated BzATP was as effective as when 50 microM BzATP or ATP was contained in the incubation medium during the assay. Photoincorporated BzATP also stimulated the production of prostaglandin E2 and the accumulation of cyclic AMP. In previous studies, we demonstrated that these three events are obligatory early steps in a pathway leading to DNA synthesis in the above cell lines. The evidence indicated that the purinoceptor activated by extracellular ATP or BzATP was linked to a pertussis toxin-sensitive GTP-binding protein. Consistent with these observations, we now find that pertussis toxin inhibits the effect of photoincorporated BzATP on arachidonic acid release. These results indicate that BzATP is an effective agonist for the P2Y purinoceptor concerned with stimulation of DNA synthesis in 3T3, 3T6, and A-431 cells. Furthermore, after photolysis it becomes irreversibly associated with intact cells and promotes the activation of early events required for DNA synthesis.",normal,0.2332714200019836,0.7667285799980164,0.7667285799980164,non-urgent,430,True,1,neoplasms,train,Yuvrajxms09/biobert-triage-classifier,0.7,256
"A palmar dermatosis linked to occult carcinoma of the upper thorax, head and neck: Bazex's syndrome and tripe palm. An unusual, persistent, corregated-to-honeycombed thickening of the palms accompanied by tenderness around the fingernails was found to be a cutaneous marker for internal malignancy. This combination of signs and symptoms has been reported under two clinical entities: Bazex's syndrome and tripe palm. This paraneoplastic syndrome is of interest to head and neck surgeons due to the location of the primary tumor, the site of metastatic disease, and the ability to cure the cutaneous disease by surgical removal of the primary tumor. In our patient, a squamous cell carcinoma of the lung not detectable on chest x-ray presented as a cervical mass accompanied by cutaneous changes on the palms and fingernails. Recognition of the relationship of the dermatologic changes to malignancy of a specific body region eventually led to the detection of the primary tumor. The characteristics of these paraneoplastic syndromes were reviewed in this report.",atenção,0.4217292964458465,0.578270673751831,0.578270673751831,non-urgent,241,False,1|5,neoplasms|general pathological conditions,test,Yuvrajxms09/biobert-triage-classifier,0.7,256
"A simplified technique for the production of heart failure in the dog by rapid ventricular pacing. Prolonged rapid ventricular pacing (VP) in dogs produces low output heart failure (HF) characterized by cardiomegaly, ascites, and elevated plasma renin and norepinephrine levels. Commercially available pacemaker generators have a protective circuit that prevents pacing at rapid rates. Previously, investigators have had to use either external temporary pacemakers or customized generators to pace at rates greater than 130 beats per minute (bpm). The authors have developed a simple method to perform rapid VP by gluing magnets on Medtronic VVI generators, which allows programming in a temporary mode to sustain rates up to 400 bpm. Our results using 10 generators in 55 dogs demonstrates that HF is produced in all dogs when VP is maintained at 250 bpm for an average of 28 days. Technical difficulties during our early experience with this technique included magnets becoming unglued, loss of capture, and wound complications requiring generator removal. Thus, our method reuses commercially available generators to rapidly pace the ventricles and induce HF.",atenção,0.657520592212677,0.3424794375896454,0.657520592212677,urgent,239,False,4,cardiovascular diseases,train,Yuvrajxms09/biobert-triage-classifier,0.7,256
"A rhesus monkey model for sexual transmission of a papillomavirus isolated from a squamous cell carcinoma. Recently we molecularly cloned and characterized a papillomavirus from a lymph node metastasis of a primary penile carcinoma found in a rhesus monkey; this virus species, rhesus papillomavirus type 1 (RhPV-1), is similar to oncogenic human papillomaviruses (HPVs), such as HPV-16 or HPV-18, in that the RhPV-1 DNA was found to be integrated in the tumor cell DNA. To compare the sexual transmission and oncogenic nature of RhPV-1 with these HPVs, we undertook an extensive retrospective study of a group of rhesus monkeys whose sexual mating and offspring histories were known. These animals had mated directly with the index male mentioned above or were secondarily exposed to this virus through intermediate sexual partners. This study combines cytological, histopathological, and several complementary hybridization and DNA amplification techniques on multiple tissue samples to demonstrate the sexually transmitted nature of RhPV-1. The oncogenic potential of RhPV-1 is suggested in several of the infected animals by the presence of various degrees of neoplasia including squamous cell cancer of the cervix.",atenção,0.3773193359375,0.6226806640625,0.6226806640625,non-urgent,295,True,1,neoplasms,train,Yuvrajxms09/biobert-triage-classifier,0.7,256
"Alanine aminotransferase in clinical practice. A review. Alanine aminotransferase is an enzyme produced mainly in the liver. When serum activity is measured, it provides a marker of hepatic disease. This review explores the biochemistry and laboratory analysis of alanine aminotransferase in terms of its significance in human health and disease. Cut-off levels that define abnormality are rather arbitrary and this decreases the specificity of the test in apparently healthy patients. A small, but important, group of patients with alanine aminotransferase abnormality have underlying liver disease that may be treatable. Most can be diagnosed based on history, physical examination, and biochemical-serological profiles. Liver biopsy can complement the diagnostic process in selected circumstances. Literature pertaining to this is critically reviewed.",normal,0.2400715500116348,0.7599284052848816,0.7599284052848816,non-urgent,173,False,2,digestive system diseases,train,Yuvrajxms09/biobert-triage-classifier,0.7,256
"Accelerated arteriosclerosis in heart transplant recipients is associated with a T-lymphocyte-mediated endothelialitis. Accelerated arteriosclerosis has emerged as a major life-threatening complication in long-term survivors of heart transplantation. It has been proposed that accelerated arteriosclerosis is an immune-mediated complication of rejection. We observed a striking endothelialitis in the coronary arteries of two explanted hearts obtained from patients with severe transplant-related accelerated arteriosclerosis. This finding prompted us to review the pathologic changes in the coronary arteries of 23 autopsied patients who had received heart transplants. The infiltrate in these vessels was characterized using immunohistochemical stains for lymphocytes (CD45), macrophages (MAC-387), T lymphocytes (CD45RO), B lymphocytes (L-26), and smooth muscle cells (actin). In addition, a full panel of monoclonal antibodies was used on the fresh-frozen tissue available from one of the two explanted hearts. Ten of the eleven recipients with accelerated arteriosclerosis had a moderate to marked lymphocytic endothelialitis compared to 3 of 14 without transplant-related arteriosclerosis (P less than 0.005). Immunohistochemical staining of the paraffin-embedded material demonstrated that most of the lymphocytes in the subendothelial space of these vessels were T lymphocytes and that this infiltrate was associated with an accumulation of macrophages and a proliferation of smooth muscle cells in the intima. In the explanted heart from which fresh-frozen tissue was available for more detailed cell typing, the T cells marked predominantly as cytotoxic T lymphocytes (CD8+, CD2+). These results suggest that accelerated arteriosclerosis may be mediated, in part, by a cytotoxic T-lymphocyte-directed endothelialitis.",atenção,0.5595147609710693,0.4404852092266083,0.5595147609710693,urgent,452,True,4,cardiovascular diseases,test,Yuvrajxms09/biobert-triage-classifier,0.7,256
"'Cystic papilloma' in humans? Demonstration of human papillomavirus in plantar epidermoid cysts. Fourteen cases of plantar epidermoid cyst were studied immunohistochemically and five of them were also studied electron microscopically for the presence of human papillomavirus. In eleven cases, the test results were positive for papillomavirus antigens, and in five of them, papillomaviruslike particles were observed by electron microscopy. Histological examination showed most of the cysts to contain intracytoplasmic eosinophilic bodies in cells of the cyst wall as well as the vacuolar structures in the keratinous mass within the cavity. These findings suggest an etiologic association between the papillomavirus and plantar epidermoid cysts. The ""cystic papilloma"" produced in rabbits by the Shope papillomavirus has been clearly demonstrated. We propose that human papillomaviruses play an important role in the genesis of plantar epidermoid cysts. This is the first report on the possible existence of a cystic papilloma in humans.",normal,0.1791831701993942,0.8208167552947998,0.8208167552947998,non-urgent,276,True,1,neoplasms,train,Yuvrajxms09/biobert-triage-classifier,0.7,256
"Alkaline reflux gastritis. Alkaline reflux gastritis and the symptoms associated with alkaline reflux gastritis have been reported in the medical literature since shortly after Billroth successfully performed his first gastrectomy in the 1880s. The disease process is produced by, or at least is associated with, the reflux of alkaline secretions into the gastric remnant. Although it occurs after any procedure that ablates the pylorus including pyloroplasty, it would appear to be most common after a Billroth II gastrojejunostomy. How the alkaline secretions cause the gastritis is still controversial. Clearly, the most effective therapy is to reroute the secretions from the biliary tract, pancreas, and duodenum so that they will not reflux into the gastric remnant. This is most effectively accomplished by a Roux-en-Y gastrojejunostomy with the afferent limb measuring at least 18 inches (40 cm). The surgeon and the patient should be aware that the construction of such a gastric outlet channel is associated with delayed gastric emptying. The etiology of this impaired emptying is also controversial. If the patient has symptoms of dumping (either early or late), these symptoms may also be abated using the Roux limb. At least 40% of patients will have gastric outlet obstruction. Supportive therapy is appropriate in the majority of these patients.",atenção,0.3234797716140747,0.6765202283859253,0.6765202283859253,non-urgent,320,True,2|5,digestive system diseases|general pathological conditions,test|train,Yuvrajxms09/biobert-triage-classifier,0.7,256
"Alkalinisation of prilocaine for intravenous regional anaesthesia. Suitability for clinical use. Eighty unpremedicated patients undergoing day-case hand surgery under intravenous regional anaesthesia were randomly allocated to receive, in a double-blind study, either 40 ml 0.75% prilocaine hydrochloride, with 5 ml 8.4% sodium bicarbonate or 5 ml 0.9% saline. The alkalinised group had significantly less pain on injection (p = 0.0045), during surgery (p = 0.0074) and 5 minutes after the tourniquet was deflated (p = 0.0027). The time elapsed between insertion of the block and commencement of surgery was not affected.",atenção,0.3362624645233154,0.6637375354766846,0.6637375354766846,non-urgent,177,False,3,nervous system diseases,train,Yuvrajxms09/biobert-triage-classifier,0.7,256
"A chronic granulomatous syndrome of unknown origin. A small clinically distinct group of patients with widespread tissue granulomata are described. The principal presenting symptoms are malaise, fever, and weight loss, although a wide variety of complaints are documented. Pulmonary involvement is uncommon. The granulomata are noncaseating with a few multinucleate giant cells and some surrounding chronic inflammatory infiltrate. There is no evidence of an associated arteritis. The disease has a relapsing and remitting course and although it may require treatment with immunosuppressive drugs, particularly if the kidneys are involved, the prognosis is relatively good. We propose that this entity be called granulomatous syndrome of unknown origin. The characteristics that set this syndrome apart from the other granulomatous vasculitides are discussed. The current limited understanding of granuloma formation does not allow us to propose a definite etiology for this condition. It is emphasized that it is not helpful to encompass it within a label of sarcoidosis. First, it may only serve to confuse the doctor in assessing and treating this very particular group of patients. Secondly, it may hinder future attempts to understand the different pathogenetic mechanisms underlying the various conditions in which granulomata may arise.",atenção,0.3414261639118194,0.6585738658905029,0.6585738658905029,non-urgent,283,True,2|5,digestive system diseases|general pathological conditions,test,Yuvrajxms09/biobert-triage-classifier,0.7,256
"A comparative study of naproxen sodium, pizotyline and placebo in migraine prophylaxis. 318 patients satisfying the Ad Hoc Committee's criteria for common or classical migraine were entered into an 8 week single-blind placebo recording phase to establish, by diary cards, the frequency and severity of their attacks. 176 patients completed this and had records indicating 4-8 episodes in the 8 week period, with sufficient severity to reduce activity and/or work; these patients were randomized by a predetermined code, into three double-blinded groups: naproxen sodium 550 mg bid (60 patients), pizotyline 0.5 mg tid (59 patients), or placebo (57 patients). The patients were followed at monthly intervals for 12 weeks, with 25 dropping out (3 on naproxen sodium, and 2 each on pizotyline and placebo because of ""side effects;"" the remaining 18 because of noncompliance or reasons unrelated to therapy). Approximately 25% of patients in each of the 3 groups complained of side effects. Statistical analysis showed that both naproxen sodium and pizotyline were better than placebo, and of overall equivalent (i.e. equal) efficacy in the prophylaxis of migraine. In some respects, naproxen sodium was slightly more effective than pizotyline in the first month of treatment.",normal,0.0782282575964927,0.921771764755249,0.921771764755249,non-urgent,302,True,3,nervous system diseases,test,Yuvrajxms09/biobert-triage-classifier,0.7,256
"A three-year retrospective study of synovectomies in children. The aim of this study was to evaluate the results of synovectomies in children with juvenile arthritis. Five hundred twenty-eight synovectomies and tenosynovectomies were performed over a period of 13 years. The patients were followed for one, two, three, five, and ten years postoperatively. The evaluation after three years was chosen as the basis for this article. One hundred twenty-five children with arthritis who were not evaluated three years postoperatively had less severe arthritis, both locally and generally, than the evaluated group of 389. The rate for good results and tolerability was high at one, two, and three years postoperatively but decreased with time; more patients went from good results to poor rather than vice versa. Global assessment, soft-tissue swelling, and limitation of movement seemed to be the best parameters for evaluating the results of synovectomies. It appears necessary to wait at least three years to evaluate the long-term effect of synovectomies.",normal,0.0603165812790393,0.9396833777427672,0.9396833777427672,non-urgent,240,False,5,general pathological conditions,test,Yuvrajxms09/biobert-triage-classifier,0.7,256
