medical_abstract,original_condition_labels,original_condition_names,original_splits,n_tokens,was_truncated,binary_prediction,urgent_score,nonurgent_score,confidence,triage_level,pseudolabel_model,pseudolabel_threshold,max_length
"A comparative study of histopathology, hormone receptors, peanut lectin binding, Ki-67 immunostaining, and nucleolar organizer region-associated proteins in human breast cancer. The current study was performed on 71 cases of human female breast cancer and compares the results of five morphologic methods developed for the detection of estrogen receptors (ER), progesterone receptors (PgR), lectin Peanut agglutinin (PNA) binding sites, monoclonal antibody Ki-67 immunoreactivity, and the mean number of argyrophilic nucleolar organizer regions (Ag-NOR). All the parameters were evaluated on serial cryostat sections representative of a closely related, if not identical, neoplastic population. A significant positive correlation was found between the occurrence of estrogen, progesterone, and peanut receptors and between Ki-67 immunoreactivity, mean number of NOR, and mitotic index. Furthermore, ER, PgR, and PNA receptors showed a significant, inverse correlation with Ki-67 immunoreactivity, mitotic index, and mean number of Ag-NOR. These results provide further data that support the hypothesis that (1) progesterone and PNA receptors are estrogen-induced and indicate a metabolic response of the target cells to functioning estrogen receptors; (2) the mean number of NOR reflects the cell kinetics of the tumor; and (3) metabolic differentiation of neoplastic cells is inversely correlated to the proliferation index.",1,neoplasms,train,342,True,non-urgent,0.13052469491958618,0.8694753050804138,0.8694753050804138,normal,Yuvrajxms09/biobert-triage-classifier,0.7,256
"A comparative study of naproxen sodium, pizotyline and placebo in migraine prophylaxis. 318 patients satisfying the Ad Hoc Committee's criteria for common or classical migraine were entered into an 8 week single-blind placebo recording phase to establish, by diary cards, the frequency and severity of their attacks. 176 patients completed this and had records indicating 4-8 episodes in the 8 week period, with sufficient severity to reduce activity and/or work; these patients were randomized by a predetermined code, into three double-blinded groups: naproxen sodium 550 mg bid (60 patients), pizotyline 0.5 mg tid (59 patients), or placebo (57 patients). The patients were followed at monthly intervals for 12 weeks, with 25 dropping out (3 on naproxen sodium, and 2 each on pizotyline and placebo because of ""side effects;"" the remaining 18 because of noncompliance or reasons unrelated to therapy). Approximately 25% of patients in each of the 3 groups complained of side effects. Statistical analysis showed that both naproxen sodium and pizotyline were better than placebo, and of overall equivalent (i.e. equal) efficacy in the prophylaxis of migraine. In some respects, naproxen sodium was slightly more effective than pizotyline in the first month of treatment.",3,nervous system diseases,test,302,True,non-urgent,0.07822825759649277,0.921771764755249,0.921771764755249,normal,Yuvrajxms09/biobert-triage-classifier,0.7,256
"A comparative study of terbinafine versus griseofulvin in 'dry-type' dermatophyte infections. We conducted a double-blind comparative study of terbinafine, 250 mg twice daily, versus griseofulvin, 500 mg twice daily, for 6 weeks in chronic dermatophyte infections of the feet or hands. All but three patients (total 31) had Trichophyton rubrum infection. At 12-week follow-up, 100% of the terbinafine-treated group were free from infection compared with 45% of those treated with griseofulvin. Therapy in 75% of the terbinafine-treated group and in 35% of those given griseofulvin was rated as effective overall at long-term follow-up, although these differences were not statistically significant. Six months after treatment all nine patients whose skin had cleared with terbinafine therapy remained in remission versus only one of seven patients treated with griseofulvin. None of the patients in either group experienced serious adverse effects.",5,general pathological conditions,train,225,False,non-urgent,0.09438933432102203,0.9056106209754944,0.9056106209754944,normal,Yuvrajxms09/biobert-triage-classifier,0.7,256
"A comparative trial of three agents in the treatment of acute migraine headache. STUDY OBJECTIVES: A study was conducted to evaluate the relative efficacy of three non-narcotic agents, chloropromazine, lidocaine, and dihydroergotamine, in the treatment of migraine headache in an emergency department setting. DESIGN: The trial was randomized and single blinded. SETTING: The study was conducted in two university-affiliated EDs. TYPE OF PARTICIPANTS: All patients had an isolated diagnosis of common or classic migraine. INTERVENTIONS: Patients were pretreated with 500 mL (IV) normal saline before randomization. Study drugs as administered were dihydroergotamine 1 mg IV repeated after 30 minutes if the initial response was inadequate; lidocaine 50 mg IV at 20-minute intervals to a maximum total dose of 150 mg as required; or chloropromazine 12.5 mg IV repeated at 20-minute intervals to a total maximum dose of 37.5 mg as required. Patients were asked to grade headache severity on a ten-point scale before and one hour after the initiation of therapy. Follow-up by phone was sought the following day. MEASUREMENTS AND MAIN RESULTS: Of 76 patients completing the trial, 24 were randomized to receive chloropromazine, 26 to receive dihydroergotamine, and 26 to receive lidocaine. Reduction in mean headache intensity was significantly better among those treated with chloropromazine (P less than .005). Persistent headache relief was experienced by 16 of the chloropromazine-treated patients (88.9%) contacted at 12 to 24 hours follow-up compared with ten of the dihydroergotamine-treated patients (52.6%) and five of the lidocaine-treated group (29.4%). CONCLUSION: The relative effectiveness of these three antimigraine therapies appears to favor chloropromazine in measures of headache relief, incidence of headache rebound, and patient satisfaction with therapy.",3|5,nervous system diseases|general pathological conditions,train,470,True,urgent,0.7374383211135864,0.2625616788864136,0.7374383211135864,urgente,Yuvrajxms09/biobert-triage-classifier,0.7,256
"A comparison between single and double dose intravenous Timentin for the prophylaxis of wound infection in elective colorectal surgery. A prospective, randomized, single-blind, controlled clinical trial was undertaken to determine whether two doses of systemic Timentin provided superior prophylaxis against postoperative sepsis in elective colorectal surgery compared with a single dose of the same antibiotic. Timentin, a combination of ticarcillin and clavulanic acid was administered intravenously (3.1 g) at the commencement of operation to all patients, and this was repeated after 2 hours in those patients randomized to receive a second dose. The wound infection rate was 11 percent in the 143 patients completing follow-up and receiving a single dose, and 13 percent in the 128 patients receiving two doses of Timentin (P greater than 0.05). The rates of postoperative septicemia 3 vs. 4 percent and intra-abdominal abscess 5 vs. 8 percent were similar. Multivariate analysis of the factors likely to affect postoperative would infection rate demonstrated an association with the type of hospital, public or private, wound infection rate 16 and 6 percent, respectively (P less than 0.01), and the surgeon group defined by the number of patients contributed greater than 25 or less than 25, wound infection rate 6 and 18 percent, respectively (P less than 0.05). We concluded that a single dose of intravenous Timentin was as effective as two doses for prophylaxis against surgical infection and that the surgeon group and the hospital in which the operation took place were statistically significant predictors of postoperative wound infection.",5,general pathological conditions,train,353,True,non-urgent,0.3898785412311554,0.6101214289665222,0.6101214289665222,atenção,Yuvrajxms09/biobert-triage-classifier,0.7,256
"A comparison in vitro of human and rabbit distal colonic muscle responses to inflammatory mediators. The present study compared in vitro the motor responses of human and rabbit distal colonic longitudinal and circular muscle to acetylcholine, histamine, leukotrienes B4 and D4, and prostaglandins E2 and F2 alpha. The active and passive mechanical properties of these muscles were also evaluated. All muscle types were contracted by acetylcholine and histamine. Longitudinal muscle from both species was contracted by prostaglandin E2 and prostaglandin F2 alpha, although rabbit muscle was more sensitive. Prostaglandin E2 relaxed the majority of both human and rabbit circular muscle preparations that were studied. Prostaglandin F2 alpha first relaxed and then contracted circular muscle from both species. Leukotriene B4 had no effect on any tissue studied. Leukotriene D4 caused transient relaxations in a proportion of all muscle types, but the relaxations were not concentration-related. Contractile responses did not differ under isotonic recording conditions, but relaxations were much more clearly defined. Based on experiments using atropine, phentolamine and propranolol, and pyrilamine or tetrodotoxin, it was concluded that the responses of both human and rabbit distal colonic muscles to these inflammatory mediators have a similar pharmacological basis. All muscle types exhibited low passive tension and developed active tension in the range 0.8-1.2 Lo. These data strongly support the belief that after the onset of an induced colitis, the rabbit colon has value as a predictive model for the study of inflammatory mediator-induced colonic motility changes in humans.",2,digestive system diseases,test,386,True,non-urgent,0.0898929089307785,0.9101070761680603,0.9101070761680603,normal,Yuvrajxms09/biobert-triage-classifier,0.7,256
"A comparison of Ho's, International Union Against Cancer, and American Joint Committee stage classifications for nasopharyngeal carcinoma. Five hundred sixty-four nasopharyngeal carcinomas (NPC), mostly of undifferentiated histologic type, were studied for survival, distant metastasis, and local recurrence. All had computerized tomography of the nasopharynx and skull base (CT-NP) and fiberoptic nasopharyngoscopy for evaluation of the primary tumor. Regional disease was assessed by palpation. A computer data base was formed on presentation, containing all information required for staging according to Ho's, the International Union Against Cancer (UICC), and the American Joint Committee (AJC) classifications. The three were compared for their efficacy in predicting prognosis. Ho's classification was superior to the other two because its overall stages differed from one another more significantly in the actuarial survival (ASR), disease-free survival (DFS), and freedom from distant metastasis (FDM) rates, and its N staging was more accurate in predicting FDM. Stages T1 and T2 of UICC/AJC were similar in the freedom from local recurrence rate (FLR) and should be grouped together, equivalent to Ho's T1. A more even patients number distribution among the stages also favored the use of Ho's classification.",1,neoplasms,train,316,True,non-urgent,0.3261031210422516,0.6738969087600708,0.6738969087600708,atenção,Yuvrajxms09/biobert-triage-classifier,0.7,256
"A comparison of coarctation resection and subclavian flap angioplasty using ultrasonographically monitored postocclusive reactive hyperemia The reported relatively high incidence of early restenosis at the coarctation repair site with subclavian flap angioplasty, especially in infants less than 3 months of age, prompted a physiologically oriented analysis of relief of obstruction from coarctation after subclavian flap angioplasty versus resection and end-to-end anastomosis in infancy. Twenty-one patients who had undergone repair of coarctation in infancy by either subclavian flap angioplasty (nine patients) (median age 8 years) or resection and end-to-end anastomosis (12 patients) (median age 8 years) were evaluated by Doppler spectrum analysis of the blood flow velocities in the femoral artery at rest and during reactive hyperemia. The median resting right upper to lower limb systolic pressure difference (with interquartile range) was similar in the angioplasty, resection and anastomosis, and control groups: -5 mm Hg (18 mm Hg), 0 mm Hg (12 mm Hg), and -2.5 mm Hg (10 mm Hg), respectively. Also, similar resting values for the maximum frequency of the advancing curve and the pulsatility and resistance indices were measured in the three groups. During reactive hyperemia of the leg, however, a significant hemodynamic obstruction across the repair site became clinically manifest in the angioplasty group only, as documented by a lower pulsatility index in comparison with the control group (p = 0.01, Mann-Whitney U test). Comparison of the hemodynamic results between the angioplasty and resection and anastomosis groups in subdivisions of infants operated on at an age of less or greater than 3 months, both at rest and during reactive hyperemia, showed, already at rest, a significantly lower value for the pulsatility index in the former angioplasty subdivision (p = 0.05, Student's t test), indicating a significant resistance at the coarctation repair site in the angioplasty patients operated on before the third month of life. A disadvantage of angioplasty (compared with resection and anastomosis) was noted when angioplasty was performed before the third month of life, and an unequivocal lack of advantage was noted when performed beyond that period regarding relief of obstruction from coarctation. In addition, a definite potential for adverse long-term effects on the hemodynamics of the left upper limb after subclavian flap angioplasty in infancy has been documented. For these reasons we prefer to perform resection and end-to-end anastomosis for repair of coarctation in infancy.",4,cardiovascular diseases,train,647,True,non-urgent,0.18659766018390656,0.8134022951126099,0.8134022951126099,normal,Yuvrajxms09/biobert-triage-classifier,0.7,256
"A comparison of hospital costs and morbidity between octogenarians and other patients undergoing general surgical operations. The hospital costs and clinical results of 304 patients who were more than 80 years old and who underwent general surgical procedures were evaluated. The over-all mortality rate was 14 per cent; 19.9 per cent occurred in patients admitted under emergency conditions as compared with 8.9 per cent that occurred in patients undergoing elective procedures (p less than 0.001). Seventy-nine per cent of the patients were discharged and 7 per cent required care in a skilled nursing facility. Survival rates were as good or better than standard life table survival rates for 80 year old patients. Costs were higher in those who were admitted under emergent conditions or who died in the hospital. Deaths were a result of complications of the primary disease rather than associated disease in most groups. Neither costs nor length of stay could accurately predict survival of individual patients. We concluded that health resources should be directed at treating problems, such as cholelithiasis, hernia or carcinoma, early before complications develop.",5,general pathological conditions,test,226,False,urgent,0.5941026210784912,0.405897319316864,0.5941026210784912,atenção,Yuvrajxms09/biobert-triage-classifier,0.7,256
"A comparison of host responses of the Mongolian jird to infections of Brugia malayi and B. pahangi. Host responses of jirds receiving a single subcutaneous inoculation of subperiodic Brugia malayi were compared with those of jirds similarly infected with B. pahangi. Parasite burdens, lymphatic lesion severity, granulomatous reactivity, antibody responses to parasite antigens, and complete blood cell counts were assessed at 60 and 150 days post-inoculation. At 60 days post-inoculation, percentages of adults recovered at necropsy and lymphatic lesion severity were greater in B. pahangi-infected jirds. At 150 days post-inoculation, lesion severity and percentages of worms recovered were similar in both infections. No significant differences were noted in either infection in reactivity to homologous or heterologous parasite antigens in any parameter measured. Similarities in the kinetics of the inflammatory reactivities of the 2 infections suggest that previous observations made in the jird-B. pahangi model could be utilized in designing studies using B. malayi. Further, the more marked lesion severity observed in B. pahangi-infected jirds and the relative ease of maintaining B. pahangi in the laboratory support the continued use of this system as a conceptual model for the study of lymphatic lesion pathogenesis.",5,general pathological conditions,train,309,True,non-urgent,0.19864310324192047,0.8013569116592407,0.8013569116592407,normal,Yuvrajxms09/biobert-triage-classifier,0.7,256
"A comparison of induction and maintenance therapy for acute nonlymphocytic leukemia in childhood: results of a Pediatric Oncology Group study. Two hundred fifty-six children with previously untreated acute nonlymphocytic leukemia (ANLL) were evaluated on a Pediatric Oncology Group (POG) phase III randomized trial of both induction and continuation chemotherapies. Induction therapy compared vincristine, cytarabine, and dexamethasone (VADx) with daunorubicin, cytarabine, and thioguanine (DAT). The complete remission (CR) rate using DAT was superior (82% v 61%, P = .02). Postremission therapy consisted of either ""standard"" two-cycle therapy or a more intensive four-cycle regimen given for 2 years. Overall, there was no difference in outcome for patients randomized to either continuation regimen. The overall complete continuous remission rate (CCR) for the ""best"" induction/continuation therapy combination at 2 years was .50 (SE = .06), at 3 years was .35 (.04), and at 4 years was .34 (.05). Analysis of selected clinical and laboratory parameters demonstrated differences in induction responses favoring DAT induction but did not impact eventual disease-free survival. There were two subgroups of patients who responded better to four-cycle continuation therapy. These were patients with French-American-British (FAB) M1/M2 (2-year CCR was .20 v .44, P = .01) and patients older than 10 years at diagnosis (.32 v .62, P = .004).",1|5,neoplasms|general pathological conditions,train,367,True,non-urgent,0.42823928594589233,0.5717607140541077,0.5717607140541077,atenção,Yuvrajxms09/biobert-triage-classifier,0.7,256
A comparison of midazolam with and without nalbuphine for intravenous sedation. The introduction of nalbuphine to intravenous sedation with midazolam added little to the quality of sedation for short operative procedures. There was a greater tendency for patients who received nalbuphine and midazolam to sleep in the afternoon after treatment compared with those who received only midazolam. Significantly more patients had nausea and vomiting in the midazolam/nalbuphine group than did patients in the midazolam-only group.,3,nervous system diseases,train,127,False,urgent,0.5167961716651917,0.48320379853248596,0.5167961716651917,atenção,Yuvrajxms09/biobert-triage-classifier,0.7,256
"A comparison of neurological, metabolic, structural, and genetic evaluations in persons at risk for Huntington's disease. We compared four diagnostic data sets for the assessment of individuals at risk for Huntington's disease. Fifty-four chorea-free persons were evaluated by neurological examination, positron emission tomography measurement of glucose metabolism, radiographic computerized tomographic measurement of caudate size, and genetic testing at the polymorphic DNA loci D4S10, D4S43, and D4S125. Twelve (22%) persons had abnormal caudate metabolism, 6 (11%) had subtle abnormalities of motor control, and 7 (13%) had computed tomographic evidence of caudate atrophy, compared with an expected gene frequency of 34% for this population. In 20 persons with unambiguous genetic test results or the subsequent phenotypic expression of Huntington's disease (chorea), there was a greater sensitivity of the positron emission tomographic measurement of caudate metabolism (75%) relative to computed tomography (33%) or the clinical examination (17%) for the determination of a subpopulation of probable Huntington's disease gene carriers. Hypometabolism of the putamen and globus pallidus, and hypermetabolism of the precentral gyrus were also associated with a high probability of carrying the Huntington's disease gene. The findings support the hypothesis that abnormalities of cerebral metabolism precede clinical or structural (computed tomographic) abnormalities in gene-positive individuals at risk for Huntington's disease.",5,general pathological conditions,test,358,True,non-urgent,0.13572414219379425,0.8642758727073669,0.8642758727073669,normal,Yuvrajxms09/biobert-triage-classifier,0.7,256
"A comparison of parallel versus perpendicular placement of retention sutures in abdominal wound closure. A new technique for placement of retention sutures is described. Twenty-five rats underwent midline laparotomy incision. The control group was closed with traditional placement of through-and-through retention sutures placed in a perpendicular direction to the wound. The experimental group was closed with retention sutures placed in a parallel direction to the wound as described below. Wound bursting strength was significantly (P less than 0.001) greater at one to five days in the experimental group compared with the control animals. In addition, inflammatory reaction and pressure necrosis were greater in the control group. It appears that parallel placement of sutures has less of a tendency to cut through tissue when subjected to the distracting forces on a midline wound.",5,general pathological conditions,train,170,False,non-urgent,0.1994549185037613,0.8005450963973999,0.8005450963973999,normal,Yuvrajxms09/biobert-triage-classifier,0.7,256
"A comparison of regulatory cells in spinal fluid and blood in patients with multiple sclerosis and other neurologic diseases. Multiple sclerosis is a disease in which immune abnormalities are present both in the CNS and peripheral blood. Whether these changes are primary or secondary to the disease process is not known. We tested T-cell clones derived from activated lymphocytes in the blood and CSF of MS patients and controls for their capacity to regulate T-cell responses to alloantigens. A wide spectrum of regulatory functions were observed, ranging from marked enhancement to almost complete suppression. Clones from different patient populations and anatomic sites were equivalent in their regulatory functions with the net effect of clones in each compartment being suppression. However, certain clones from CSF and peripheral blood had the capacity to stimulate autologous T cells. Percentages of such clones in the peripheral blood of MS patients were significantly higher than in controls, while percentages in MS and other neurologic diseases (OND) CSF were equivalent. Our data suggest that (1) functional suppressor cells are not lost from the blood or CSF or MS and OND patients, (2) lymphocytes that have entered the CNS in patients with MS and other CNS diseases have equivalent regulatory functions, (3) MS may be an illness in which peripheral immunologic events are important in perpetuating the disease process, and (4) responses to autologous antigens may also play a role in this perpetuation.",3,nervous system diseases,train,320,True,non-urgent,0.18508724868297577,0.8149127960205078,0.8149127960205078,normal,Yuvrajxms09/biobert-triage-classifier,0.7,256
"A comparison of surfactant as immediate prophylaxis and as rescue therapy in newborns of less than 30 weeks' gestation BACKGROUND. Exogenous pulmonary surfactants are administered into the trachea either to prevent respiratory distress syndrome in premature infants or to treat it. In a randomized, multicenter trial, we compared the results of surfactant therapy initiated as prophylaxis with the results of rescue therapy with surfactant. METHODS. Before birth, 479 infants with an estimated gestational age of less than 30 weeks were randomly assigned to receive surfactant as prophylaxis (n = 235) or rescue therapy (n = 244). The infants in the prophylaxis group received a 90-mg intratracheal dose of an exogenous calf-lung surfactant extract at the time of delivery, whereas the infants in the rescue-therapy group received 90 mg of the surfactant several hours after delivery if the fractional inspiratory oxygen concentration was at least 0.40 or if the mean airway pressure was at least 0.686 kPa (7 cm of water), or both. Infants in both groups received additional doses of surfactant at intervals of 12 to 24 hours if these criteria were met. RESULTS. The proportion of infants surviving until discharge to their homes was significantly higher in the prophylaxis group than in the rescue-therapy group (88 vs. 80 percent, P = 0.028). This difference was due primarily to the longer survival of very premature infants (less than or equal to 26 weeks' gestation) in the prophylaxis group than in the rescue-therapy group (75 vs. 54 percent, P = 0.006). According to proportional-hazards regression analysis, the distribution of survival times was better for all infants in the prophylaxis group (P = 0.007) and for the subgroup of infants in the prophylaxis group who were delivered at 26 weeks' gestation or earlier (P = 0.0048). Infants in the prophylaxis group who were delivered at 26 weeks' gestation or earlier had a lower incidence of pneumothorax than similar infants in the rescue-therapy group (7 vs. 18 percent, P = 0.03). CONCLUSIONS. We found a significant advantage to the administration of the initial dose of surfactant as prophylaxis rather than as rescue therapy in very premature infants.",5,general pathological conditions,test,544,True,urgent,0.70242840051651,0.29757159948349,0.70242840051651,urgente,Yuvrajxms09/biobert-triage-classifier,0.7,256
"A comparison of the efficacy and safety of pergolide and bromocriptine in the treatment of hyperprolactinemia. Pergolide is a synthetic ergoline derivative with highly potent long-acting PRL-lowering activity, allowing therapy of hyperprolactinemia with a once daily administration of the drug. The results of two open-label, randomized controlled multicenter clinical trials are reported. Pergolide (taken once a day), was compared with bromocriptine (taken two to four times daily) regarding efficacy and safety in the reduction of PRL levels, the cessation of galactorrhea and amenorrhea, the improvement in sexual function, and tumor shrinkage in hyperprolactinemia without (trial I; 61 patients) and with radiologically evident pituitary tumors (trial II; 96 patients). Both drugs were equally effective in lowering PRL levels in both trials. A median optimal dose of 50 micrograms pergolide and 5 mg bromocriptine/day suppressed PRL levels in the 61 patients of trial I by more than 80%. During the 24-week investigational period galactorrhea disappeared in 96% and 87% of patients, whereas menstruation returned in 90% and 96% of patients, respectively. An equally high efficacy (optimal median dose: 75-100 micrograms pergolide, 7.5-10 mg bromocriptine daily) was observed in trial II, although the resumption of menses was less frequent than in the patients of trial I (50% and 58% of patients, respectively). Sexual dysfunction improved similarly on both drugs in about half the patients. In addition, tumor shrinkage occurred to a similar extent with both drugs. A high incidence of adverse events was noted especially at the initiation of therapy with both compounds: nausea, dizziness, vomiting, asthenia, headache, and decrease in blood pressure occurred at a similar incidence and extent during the use of pergolide and bromocriptine. Patients in trial I treated with pergolide reported a slightly higher incidence of fever, vasodilatation, and flu syndrome. Conclusions: in these 24-week studies comprising a total of 157 hyperprolactinemic patients, a once daily administration of pergolide was shown to be as safe and effective as the two to four times daily ingestion of bromocriptine. Longer-acting dopamine agonists like pergolide that can be taken once daily, are likely to increase the ease to adherence to the therapeutic regimen. This might result in a higher compliance to medical treatment of hyperprolactinemia.",3|5,nervous system diseases|general pathological conditions,train,571,True,non-urgent,0.1365474909543991,0.8634525537490845,0.8634525537490845,normal,Yuvrajxms09/biobert-triage-classifier,0.7,256
"A comparison of three formulations of TAC (tetracaine, adrenalin, cocaine) for anesthesia of minor lacerations in children. A randomized, prospective, double-blind study comparing three formulations of the topical anesthetic solution TAC for laceration repair was undertaken in 250 children. The children's wounds were anesthetized with either TAC I (original formulation--0.5% tetracaine, 1:2000 Adrenalin, 11.8% cocaine), TAC II (1.0% tetracaine, 1:4000 Adrenalin, 7.0% cocaine), or TAC III (1.0% tetracaine, 1:4000 Adrenalin, 4.0% cocaine) prior to repair. The solutions were compared with respect to efficacy, acceptability, wound complications, and side effects. We found comparable efficacy of the three formulations, with similar efficacy to 1% lidocaine infiltration for facial and scalp wounds. Anesthesia for extremity wounds was adequate in only 39.9% of cases, regardless of TAC strength. Wound complications and side effects were within expected and acceptable limits. Our findings support use of TAC for face and scalp lacerations and a change to a less concentrated TAC preparation, such as our ""TAC III,"" which is presumably safer for widespread use.",5,general pathological conditions,train,296,True,non-urgent,0.2439541220664978,0.7560458779335022,0.7560458779335022,normal,Yuvrajxms09/biobert-triage-classifier,0.7,256
"A complex ileovaginal fistula with associated obstructive uropathy in a patient with Crohn's disease: technical considerations and review of the literature. A high index of suspicion of an ileogenital fistula should be aroused by a patient with Crohn's disease, weight loss, malnutrition, and a persistent vaginal discharge. Preoperative gastrointestinal and genitourinary evaluation should be used in an attempt to localize the fistulous origin as well as concomitant fistulae. The principles of surgical therapy include preoperative ureteral catheters, resection of the diseased bowel and fistulous segment of bowel, and interposition of healthy tissue (ie, omentum) between the bowel anastomosis and the vaginal cuff.",2|5,digestive system diseases|general pathological conditions,test|train,182,False,urgent,0.6887592077255249,0.3112407624721527,0.6887592077255249,atenção,Yuvrajxms09/biobert-triage-classifier,0.7,256
"A composite driving system for LVAS and IABP: practical and effective driving and weaning. We have devised a new method, termed alternate synchronous driving (ASD), to wean patients from a left ventricular assist system (LVAS) to a pressure assist intraaortic balloon pump (IABP). We have built a new drive unit, VCT200, to apply ASD easily and automatically. After IABP insertion in the final weaning stage, this method drives the LVAS and IABP alternately, with electrocardiogram (ECG) synchronization. The pumping ratio of IABP increases while that of LVAS decreases according to recovery of natural heart function. In in vitro studies, ASD was effective when bypass flow (BF) was less than 50% of total flow (TF) (TF:BF + cardiac output [CO]), and its advantages increased under lower BF conditions. Mean aortic pressure (mAP) and CO increased 10 mmHg and 15%, respectively, with this method (IABP:LVAS = 1:1) when BF was 30% of TF. During in vivo studies, mAP increased 75.7 +/- 6.7 mmHg to 80.1 +/- 3.6 mmHg (p less than 0.001), and the CO increased from 3.1 +/- 0.5 L/min to 3.3 +/- 0.5 L/min (p less than 0.001), while the endocardial viability ratio (DPTI/TTI) increased 20-30%. This method was used in a 62-year-old man in which LVAS was applied after ventricular aneurysmectomy, BF was reduced from 2.2 L/min to 1.1 L/min by using ASD without any change in systemic perfusion. This reduction of BF could not be achieved with LVAS alone. From these data, this system could wean patients from LVAS and then switch to IABP smoothly, easily, and automatically, without hemodynamic instability.",4|5,cardiovascular diseases|general pathological conditions,train,483,True,urgent,0.5260600447654724,0.4739399552345276,0.5260600447654724,atenção,Yuvrajxms09/biobert-triage-classifier,0.7,256
"A computerized laboratory alerting system. A computerized laboratory alerting system (CLAS) has been developed as part of an ongoing effort to improve the quality of care at LDS Hospital. The system identifies potentially life-threatening conditions on the basis of laboratory findings and then generates appropriate warnings and transmits them to clinicians. Use of the system has led to a significant increase in the proportion of patients in life-threatening situations who have received appropriate care (50.8% before implementation vs. 62.5% afterward, P less than 0.05). Among patients with hypokalemia, falling potassium levels, hyperkalemia, hypokalemia during treatment with digoxin, hyponatremia, falling sodium levels, hypernatremia, hypoglycemia, or hyperglycemia, the average length of time spent in the life-threatening situation has decreased from 30.4 to 15.7 hours (P less than 0.05) and the average length of stay has decreased from 14.6 to 8.8 days (P less than 0.05). There has been little change in the proportion of patients with findings indicating metabolic acidosis who have received appropriate care (32.3 vs. 34.6%). We conclude that CLAS has an important role in patient care at our hospital.",5,general pathological conditions,train,284,True,urgent,0.8354043364524841,0.16459569334983826,0.8354043364524841,urgente,Yuvrajxms09/biobert-triage-classifier,0.7,256
"A consensus approach to electrolytes and blood pressure. Could we all be right? This commentary sets forth the hypothesis that the putative beneficial or detrimental effects of specific electrolytes on blood pressure regulation in fact reflect highly integrated responses to interactions among these cationic and anionic species. In this paradigm, the impact of any given intake of an electrolyte on arterial pressure will be influenced by the concurrent consumption of other electrolytes. Thus, the heterogeneous blood pressure response in humans to isolated manipulations of nutrients such as sodium, calcium, and potassium may be determined, in part, by the adequacy of the dietary intake of other mineral elements. If this hypothesis is validated by continued research in this area, we would have new strategies available to improve blood pressure control in humans. For example, treatment of ""NaCl sensitivity"" in some humans might be more effectively approached by correcting dietary deficiencies of either potassium or calcium than by restricting dietary NaCl.",4,cardiovascular diseases,train,213,False,non-urgent,0.0394413098692894,0.9605587124824524,0.9605587124824524,normal,Yuvrajxms09/biobert-triage-classifier,0.7,256
"A controlled clinical comparison of 6 and 8 months of antituberculosis chemotherapy in the treatment of patients with silicotuberculosis in Hong Kong. Hong Kong Chest Service/tuberculosis Research Centre, Madras/British Medical Research Council. Patients with silicotuberculosis have been reported to respond poorly to antituberculosis chemotherapy. Therefore, in a study in Hong Kong, 240 Chinese male patients with both silicosis and pulmonary tuberculosis were all prescribed treatment three times weekly with streptomycin, isoniazid, rifampin, and pyrazinamide, allocated at random to be given for a total duration of either 6 (M6 regimen) or 8 months (M8 regimen) in a concurrent comparison. Those with a history of previous antituberculosis chemotherapy received ethambutol as well for the first 3 months. The intake in the M6 regimen was terminated when preliminary results showed that it was inadequate, and a further 53 patients were assigned to the M8 series. Of 91 assessable patients in the concurrent comparison with susceptible strains pretreatment, 44% were culture negative at 1 month, 80% at 2 months, and 98% at 3 months, and 1 had an unfavorable bacteriologic response during chemotherapy. During 3 yr of assessment, bacteriologic relapse after chemotherapy occurred in 22% of the M6 compared with 7% of the M8 patients (p less than 0.025, log-rank test). Inadequate chemotherapy was received by 12% of the 240 patients in the concurrent comparison because of default and by 22% because of adverse effects, but by 3 yr 92% of patients with susceptible strains pretreatment in each series had a favorable status following retreatment for relapse or for initially inadequate chemotherapy when required. The results show that patients with silicosis require at least 8 months of treatment.",5,general pathological conditions,train,425,True,non-urgent,0.16958118975162506,0.8304187655448914,0.8304187655448914,normal,Yuvrajxms09/biobert-triage-classifier,0.7,256
